1	-21
2	-18
1	-15
1	-14
1	-13
3	-11
10	-10
13	-9
24	-8
31	-7
46	-6
76	-5
112	-4
180	-3
219	-2
219	-1
239	0
155	1
114	2
58	3
57	4
20	5
16	6
6	7
7	8
3	9
4	10
3	11
2	13
2	16
1	18
