02108,03:02:51.0670000,2011-12-28,2011-11-06,69.0,0.00
02108,03:02:49.5730000,2011-12-28,2011-11-07,67.0,0.00
02108,03:02:47.6200000,2011-12-28,2011-11-08,60.0,1.05
02108,03:02:46.0100000,2011-12-28,2011-11-09,58.0,
02108,03:02:44.3630000,2011-12-28,2011-11-10,53.0,0.00
02108,03:02:42.6770000,2011-12-28,2011-11-11,63.0,0.00
02108,03:02:41.1530000,2011-12-28,2011-11-12,68.0,0.00
02108,03:02:39.5470000,2011-12-28,2011-11-13,67.0,0.00
02108,03:02:37.8770000,2011-12-28,2011-11-14,59.0,0.78
02108,03:02:36.3270000,2011-12-28,2011-11-15,56.0,0.13
02108,03:02:34.7170000,2011-12-28,2011-11-16,45.0,0.00
02108,03:02:32.9270000,2011-12-28,2011-11-17,53.0,0.00
02108,03:02:31.3900000,2011-12-28,2011-11-18,66.0,0.00
02108,03:02:29.8770000,2011-12-28,2011-11-19,59.0,0.00
02108,03:02:28.4670000,2011-12-28,2011-11-20,46.0,0.03
02108,03:02:26.9300000,2011-12-28,2011-11-21,48.0,1.46
02108,03:02:25.1570000,2011-12-28,2011-11-22,46.0,0.00
02108,03:02:23.4770000,2011-12-28,2011-11-23,61.0,0.00
02108,03:02:22.0370000,2011-12-28,2011-11-24,63.0,0.00
02108,03:02:20.3670000,2011-12-28,2011-11-25,55.0,0.00
02108,03:02:18.9070000,2011-12-28,2011-11-26,67.0,0.00
02108,03:02:17.4470000,2011-12-28,2011-11-27,66.0,0.06
02108,03:02:15.8070000,2011-12-28,2011-11-28,64.0,0.70
02108,03:02:14.2700000,2011-12-28,2011-11-29,49.0,0.00
02108,03:02:12.1070000,2011-12-28,2011-11-30,50.0,0.00
02108,03:02:05.9430000,2011-12-28,2011-12-01,45.0,0.00
02108,03:02:04.1170000,2011-12-28,2011-12-02,53.0,0.00
02108,03:02:01.9830000,2011-12-28,2011-12-03,63.0,0.00
02108,03:02:00.4330000,2011-12-28,2011-12-04,61.0,0.09
02108,03:01:58.6530000,2011-12-28,2011-12-05,59.0,1.60
02108,03:01:56.8570000,2011-12-28,2011-12-06,46.0,0.89
02108,03:01:55.2130000,2011-12-28,2011-12-07,52.0,0.00
02108,03:01:53.3600000,2011-12-28,2011-12-08,47.0,0.00
02108,03:01:51.7000000,2011-12-28,2011-12-09,38.0,0.00
02108,03:01:50.1500000,2011-12-28,2011-12-10,49.0,0.00
02108,03:01:48.6170000,2011-12-28,2011-12-11,47.0,0.00
02108,03:01:47.2300000,2011-12-28,2011-12-12,43.0,0.00
02108,03:01:45.8000000,2011-12-28,2011-12-13,54.0,0.05
02108,03:01:44.1200000,2011-12-28,2011-12-14,54.0,0.02
02108,03:01:42.6330000,2011-12-28,2011-12-15,41.0,0.00
02108,03:01:41.0670000,2011-12-28,2011-12-16,28.0,
02108,03:01:39.5370000,2011-12-28,2011-12-17,45.0,0.00
02108,03:01:37.9230000,2011-12-28,2011-12-18,45.0,
02108,03:01:36.3930000,2011-12-28,2011-12-19,58.0,0.09
02108,03:01:34.6630000,2011-12-28,2011-12-20,57.0,0.41
02108,03:01:32.8200000,2011-12-28,2011-12-21,47.0,0.58
02108,03:01:31.2700000,2011-12-28,2011-12-22,31.0,0.00
02108,03:01:29.7500000,2011-12-28,2011-12-23,42.0,0.03
02108,03:01:28.2870000,2011-12-28,2011-12-24,43.0,0.00
02108,03:01:26.7670000,2011-12-28,2011-12-25,56.0,0.18
02108,03:01:25.1370000,2011-12-28,2011-12-26,57.0,0.02
02108,03:01:23.7030000,2011-12-28,2011-12-27,33.0,0.00
02108,14:20:04.0000000,2011-12-29,2011-12-28,44.0,0.00
02108,09:36:48.0000000,2011-12-30,2011-12-29,39.0,0.03
02108,11:13:28.0000000,2011-12-31,2011-12-30,51.0,0.01
02108,09:41:53.0000000,2012-01-01,2011-12-31,51.0,0.01
02108,16:48:47.0000000,2012-01-02,2012-01-01,34.0,0.00
02108,08:29:13.0000000,2012-01-03,2012-01-02,27.0,0.00
02108,08:30:58.0000000,2012-01-04,2012-01-03,38.0,0.00
02901,04:20:20.4770000,2011-12-28,2011-08-18,84.0,0.59
02901,04:20:18.9700000,2011-12-28,2011-08-19,85.0,0.02
02901,04:20:17.4070000,2011-12-28,2011-08-20,79.0,0.14
02901,04:20:15.8270000,2011-12-28,2011-08-21,78.0,0.00
