02108,07:21:03.0000000,2011-09-26,2011-09-29,65,20,-7,
02108,08:00:24.0000000,2011-09-27,2011-09-28,74,10,-2,
02108,08:00:24.0000000,2011-09-27,2011-09-30,61,30,-4,
02108,07:29:42.0000000,2011-09-28,2011-09-29,70,60,-4,
02108,07:29:42.0000000,2011-09-28,2011-10-01,61,30,0,
02108,08:44:15.0000000,2011-09-29,2011-09-30,67,70,-3,
02108,08:44:15.0000000,2011-09-29,2011-10-02,65,30,4,
02108,11:11:47.0000000,2011-09-30,2011-10-01,63,40,-4,
02108,11:11:47.0000000,2011-09-30,2011-10-03,59,10,-6,
02108,06:28:47.0000000,2011-10-01,2011-10-02,65,70,2,
02108,06:28:47.0000000,2011-10-01,2011-10-04,58,0,-1,
02108,06:28:04.0000000,2011-10-02,2011-10-03,63,10,-2,
02108,06:28:04.0000000,2011-10-02,2011-10-05,58,0,0,
02108,07:28:55.0000000,2011-10-03,2011-10-04,58,0,-5,
02108,07:28:55.0000000,2011-10-03,2011-10-06,74,0,16,
02108,06:31:08.0000000,2011-10-04,2011-10-05,59,0,1,
02108,06:31:08.0000000,2011-10-04,2011-10-07,79,0,5,
02108,06:21:39.0000000,2011-10-05,2011-10-06,77,0,18,
02108,06:21:39.0000000,2011-10-05,2011-10-08,79,0,0,
02108,12:13:37.0000000,2011-10-06,2011-10-07,81,0,4,
02108,12:13:37.0000000,2011-10-06,2011-10-09,70,0,-9,
02108,11:20:30.0000000,2011-10-07,2011-10-08,79,0,-2,
02108,11:20:30.0000000,2011-10-07,2011-10-10,67,10,-3,
02108,08:25:17.0000000,2011-10-08,2011-10-09,65,0,-14,
02108,08:25:17.0000000,2011-10-08,2011-10-11,68,80,1,
02108,06:23:40.0000000,2011-10-09,2011-10-10,59,20,-6,
02108,06:23:40.0000000,2011-10-09,2011-10-12,70,40,2,
02108,16:36:20.0000000,2011-10-10,2011-10-11,65,90,6,
02108,16:36:20.0000000,2011-10-10,2011-10-13,65,10,-5,
02108,06:29:18.0000000,2011-10-11,2011-10-12,70,100,5,
02108,06:29:18.0000000,2011-10-11,2011-10-14,65,10,0,
02108,23:52:26.0000000,2011-10-12,2011-10-13,67,10,-3,
02108,23:52:26.0000000,2011-10-12,2011-10-15,63,20,-2,
02108,10:41:05.0000000,2011-10-13,2011-10-14,63,0,-4,
02108,10:41:05.0000000,2011-10-13,2011-10-16,61,20,-2,
02108,09:30:59.0000000,2011-10-14,2011-10-15,65,0,2,
02108,09:30:59.0000000,2011-10-14,2011-10-17,65,70,4,
02108,19:32:22.0000000,2011-10-15,2011-10-16,65,10,0,
02108,19:32:22.0000000,2011-10-15,2011-10-18,65,20,0,
02108,06:28:20.0000000,2011-10-16,2011-10-17,58,100,-7,
02108,06:28:20.0000000,2011-10-16,2011-10-19,63,10,-2,
02108,20:50:55.0000000,2011-10-17,2011-10-18,70,30,12,
02108,20:50:55.0000000,2011-10-17,2011-10-20,61,0,-2,
02108,06:35:24.0000000,2011-10-18,2011-10-19,65,10,-5,
02108,06:35:24.0000000,2011-10-18,2011-10-21,59,10,-2,
02108,08:27:29.0000000,2011-10-19,2011-10-20,58,10,-7,
02108,08:27:29.0000000,2011-10-19,2011-10-22,61,40,2,
02108,10:53:43.0000000,2011-10-20,2011-10-21,56,0,-2,
02108,10:53:43.0000000,2011-10-20,2011-10-23,61,10,0,
02108,13:07:00.0000000,2011-10-21,2011-10-22,59,20,3,
02108,13:07:00.0000000,2011-10-21,2011-10-24,61,40,0,
02108,09:28:30.0000000,2011-10-22,2011-10-23,63,0,4,
02108,09:28:30.0000000,2011-10-22,2011-10-25,52,60,-9,
02108,10:38:48.0000000,2011-10-23,2011-10-24,52,40,-11,
02108,10:38:48.0000000,2011-10-23,2011-10-26,47,10,-5,
02108,09:42:40.0000000,2011-10-24,2011-10-25,47,90,-5,
02108,09:42:40.0000000,2011-10-24,2011-10-27,47,40,0,
02108,06:28:04.0000000,2011-10-25,2011-10-26,49,0,2,
02108,06:28:04.0000000,2011-10-25,2011-10-28,52,10,5,
02108,11:14:55.0000000,2011-10-27,2011-10-28,45,70,-4,
02108,11:14:55.0000000,2011-10-27,2011-10-30,49,10,-3,
02108,00:08:31.0000000,2011-10-28,2011-10-29,47,0,2,
02108,00:08:31.0000000,2011-10-28,2011-10-31,54,10,5,
02108,09:49:22.0000000,2011-10-29,2011-10-30,49,10,2,
02108,09:49:22.0000000,2011-10-29,2011-11-01,56,10,2,
02108,23:47:14.0000000,2011-10-30,2011-10-31,52,0,3,
02108,23:47:14.0000000,2011-10-30,2011-11-02,47,10,-9,
02108,07:32:50.0000000,2011-10-31,2011-11-01,56,0,4,
02108,07:32:50.0000000,2011-10-31,2011-11-03,49,0,2,
02108,12:35:09.0000000,2011-11-01,2011-11-02,52,0,-4,
02108,12:35:09.0000000,2011-11-01,2011-11-04,58,0,9,
02108,11:01:08.0000000,2011-11-02,2011-11-03,49,0,-3,
02108,11:01:08.0000000,2011-11-02,2011-11-05,61,0,3,
02108,09:33:19.0000000,2011-11-03,2011-11-04,56,0,7,
02108,09:33:19.0000000,2011-11-03,2011-11-06,63,0,2,
02108,11:41:12.0000000,2011-11-04,2011-11-05,65,0,9,
02108,11:41:12.0000000,2011-11-04,2011-11-07,63,10,0,
02108,08:41:09.0000000,2011-11-05,2011-11-06,65,0,0,
02108,08:41:09.0000000,2011-11-05,2011-11-08,65,60,2,
02108,06:46:38.0000000,2011-11-06,2011-11-07,63,0,-2,
02108,06:46:38.0000000,2011-11-06,2011-11-09,52,40,-13,
02108,09:22:50.0000000,2011-11-07,2011-11-08,61,80,-2,
02108,09:22:50.0000000,2011-11-07,2011-11-10,52,10,0,
02108,09:23:23.0000000,2011-11-08,2011-11-09,52,10,-9,
02108,09:23:23.0000000,2011-11-08,2011-11-11,61,10,9,
02108,09:32:39.0000000,2011-11-09,2011-11-10,52,0,0,
02108,09:32:39.0000000,2011-11-09,2011-11-12,65,20,4,
02108,01:23:41.0000000,2011-11-10,2011-11-11,63,0,11,
02108,01:23:41.0000000,2011-11-10,2011-11-13,61,50,-4,
02108,10:06:42.0000000,2011-11-11,2011-11-12,65,10,2,
02108,10:06:42.0000000,2011-11-11,2011-11-14,59,30,-2,
02108,00:28:38.0000000,2011-11-12,2011-11-13,63,20,-2,
02108,00:28:38.0000000,2011-11-12,2011-11-15,47,20,-12,
02108,06:29:17.0000000,2011-11-13,2011-11-14,59,60,-4,
02108,06:29:17.0000000,2011-11-13,2011-11-16,47,10,0,
02108,15:30:07.0000000,2011-11-14,2011-11-15,49,50,-10,
02108,15:30:07.0000000,2011-11-14,2011-11-17,54,0,7,
02108,08:21:41.0000000,2011-11-15,2011-11-16,49,0,0,
02108,08:21:41.0000000,2011-11-15,2011-11-18,58,10,4,
02108,03:16:08.0000000,2011-11-16,2011-11-17,56,0,7,
